127.0.0.1, 2019-06-22 08:58:31, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.099295
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 304, 0.000411
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 304, 0.003459
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 304, 0.000577
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.004484
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000870
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002155
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000436
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000438
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000795
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.004435
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 304, 0.000661
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 304, 0.002493
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 304, 0.001340
127.0.0.1, 2019-06-22 08:58:31, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 304, 0.003056
127.0.0.1, 2019-06-22 08:58:34, GET, /admin/default/peek/cvs/models/user.py, HTTP/1.1, 200, 0.113666
127.0.0.1, 2019-06-22 08:58:38, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.103124
127.0.0.1, 2019-06-22 08:58:44, GET, /cvs/appadmin/index, HTTP/1.1, 500, 0.575187
127.0.0.1, 2019-06-22 08:58:47, GET, /admin/default/ticket/cvs/127.0.0.1.2019-06-22.08-58-44.7cebe335-e79e-43e6-b7c3-2004d5fc6e9a, HTTP/1.1, 200, 0.044425
127.0.0.1, 2019-06-22 09:01:35, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.055971
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.079602
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 304, 0.000808
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001479
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.005888
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001413
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.003254
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 304, 0.004758
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 304, 0.010065
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002414
127.0.0.1, 2019-06-22 09:01:37, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002832
